date,open,high,low,close,volume
2024-10-01,14904.381210676704,14994.35470642498,14817.445595900761,14878.467658373072,6949
2024-10-02,14882.33023440023,14894.178571241147,14832.012679003887,14864.70643638494,9366
2024-10-03,14214.531275458568,14275.949724493023,14155.212725399124,14245.852129282492,2567
2024-10-04,14703.818335392862,14967.970902407886,14682.142395140567,14723.88789700779,3468
2024-10-07,14213.0784551372,14426.422460744607,14132.625006835253,14207.961694013346,3222
2024-10-08,13971.697437581368,14325.064610678797,13960.459945606572,13973.567968566353,1078
2024-10-09,14095.398966593893,14132.176966548484,13989.09696863556,14117.641297478856,3736
2024-10-10,13784.827849858724,13877.079919460783,13768.179441960672,13773.127476909656,5875
2024-10-11,13509.576338267249,13589.864987523011,13380.07535565666,13487.460002834894,2823
2024-10-14,13230.39955200559,13257.467535712267,13120.471002118327,13247.120562560569,7205
2024-10-15,13417.853475008093,13562.597158936724,13357.002863265894,13396.7118654946,8063
2024-10-16,13982.476055800324,14029.233591169965,13900.628220158549,14027.973650556363,2514
2024-10-17,13997.210289041626,14042.772278712931,13976.77934349518,14042.440970583244,5790
2024-10-18,13748.436559290227,13845.46649927718,13605.00694200611,13734.703510427824,5635
2024-10-21,13863.18096802149,13992.708816415121,13686.409807130762,13886.357721408911,4797
2024-10-22,13697.150183942369,13761.055464890711,13573.80730354184,13724.515761820669,6579
2024-10-23,13714.781330243155,13726.769287077095,13682.669404208067,13722.009757769889,3506
2024-10-24,14032.070787200202,14148.929038420434,13715.97239385189,14051.106115496055,8257
2024-10-25,13854.327254738151,13917.667648583401,13792.242017181246,13845.270591452321,4238
2024-10-28,13810.224761023268,13874.18287508031,13658.366338260656,13850.539788822689,3469
2024-10-29,13602.025745065594,13907.335473793362,13569.086805363917,13612.14008579616,4643
2024-10-30,13658.136120912586,13748.987333445673,13421.7466391236,13572.332756968328,5936
2024-10-31,13647.886185231011,13762.352778913904,13417.428524372612,13644.885647237537,4827
2024-11-01,13329.169168073,13400.424034043679,13299.136177050648,13380.376490240262,3260
2024-11-04,13308.616400594155,13435.471124416687,13237.907401844344,13292.669970573363,4568
2024-11-05,13247.213631781333,13292.94857242998,13225.053859336706,13232.673980738326,8346
2024-11-06,13103.766550537055,13114.285024969044,12976.60345548641,13067.601153242866,4618
2024-11-07,12767.212755088736,12868.523728506234,12677.601984014142,12763.42586594789,8131
2024-11-08,12392.004227488764,12493.569557319204,12360.708731085293,12408.222803186158,8486
2024-11-11,12407.525503849243,12456.123655133983,12338.54569204108,12372.663446378465,6184
2024-11-12,12326.253866733767,12460.469325495127,12280.903132493062,12308.724735447428,7758
2024-11-13,12826.684685667411,13044.941384048212,12764.193047098861,12873.04608683208,3016
2024-11-14,12281.995437699072,12452.757671228892,12202.881570894771,12263.658840955391,7085
2024-11-15,12288.070956397878,12496.851476055246,12254.669383520404,12293.797333458806,7663
2024-11-18,12415.212947234704,12475.590434628633,12268.283191613898,12387.696274432377,1345
2024-11-19,12722.212288118275,12773.55119126051,12630.055456319165,12731.718777668466,1568
2024-11-20,12882.948597555063,12929.921760944559,12721.8080526274,12862.724636714318,5969
2024-11-21,12654.81219371997,12862.049218427801,12497.573723580053,12649.899764644953,2981
2024-11-22,12667.266283257157,12832.082671847962,12644.875049210905,12652.432467739707,8095
2024-11-25,12792.45779708899,12921.07618772409,12665.003322136308,12792.979425497353,8301
2024-11-26,12705.020283614009,12728.211045632068,12411.90081923571,12715.559157688685,5583
2024-11-27,12917.47733596529,13228.042691444556,12833.782855276224,12915.73853109814,1284
2024-11-28,12460.3000730796,12523.482990432061,12365.712516961321,12444.575134725452,9557
2024-11-29,12896.33710899772,12929.616032911019,12760.77849855738,12885.575263880031,6798
2024-12-02,13314.946423530895,13439.556868068012,12848.44148709342,13272.072949008509,3276
2024-12-03,13197.12961990202,13294.182691739408,13009.711999927295,13185.905613246243,8833
2024-12-04,13367.751994951974,13685.969253900817,13303.199796666022,13350.78678283379,8140
2024-12-05,13422.472768085843,13539.997433675382,13198.786748782562,13366.274819839682,8737
2024-12-06,13150.822027927734,13264.604250489765,13041.364837731242,13149.083024437605,9228
2024-12-09,13188.915896650924,13419.961720629606,13009.353344133115,13174.804143897787,8143
2024-12-10,13427.522743311827,13519.299026336845,13367.97014081639,13443.739678910835,1408
2024-12-11,13345.451400131318,13387.635574994674,13131.471583333841,13344.331607096414,4028
2024-12-12,13290.596522477388,13460.657265185544,13194.410862433668,13247.095323047592,6428
2024-12-13,13238.27286084427,13335.26306873501,13229.942148672222,13230.025323739286,2692
2024-12-16,13386.636791262426,13415.171569268094,13115.479805071427,13347.896659546968,7258
2024-12-17,13667.138151320052,13908.946356633498,13352.37947420801,13696.309314606666,4147
2024-12-18,13488.361390067801,13644.065011570892,13414.8617170863,13526.257783541167,2984
2024-12-19,13675.632563732564,13699.368181216361,13661.495723600994,13667.226521663435,2973
2024-12-20,13691.566047469676,13771.451048542382,13608.196158179726,13729.174062949343,4359
2024-12-23,13301.50621763616,13330.348041768897,13202.769506849245,13230.844583493244,6942
2024-12-24,13155.74142331999,13294.881092609417,13071.703392623622,13122.974660069445,4152
2024-12-25,13058.29214054382,13201.18131470702,13053.392630385899,13090.907522753163,4582
2024-12-26,13078.793591925445,13166.95486665318,13073.032196616208,13083.167786172315,4661
2024-12-27,13156.194120875143,13183.543903081498,13053.494713172013,13171.383648432471,9910
2024-12-30,12657.776981623987,12686.992777435287,12596.535026621154,12647.253916233716,5891
2024-12-31,12660.02661660972,12774.067628398827,12598.754307896159,12661.4914818561,3682
2025-01-01,12516.825119960282,12538.885531888032,12378.294112538055,12493.53997604229,9148
2025-01-02,12177.077475607368,12313.21255630677,12078.41128730008,12141.422194915946,4995
2025-01-03,12266.428210895205,12314.235996799773,12257.421183444389,12271.86025025451,5212
2025-01-06,12426.923641564554,12462.100837412601,12386.415778393528,12456.149645520904,8258
2025-01-07,12310.765807696473,12423.682672643828,12249.46170195114,12296.92760585685,8715
2025-01-08,12504.26122741606,12667.962096924426,12479.004027168921,12508.376860087632,8057
2025-01-09,12444.208480484673,12604.834336655807,12163.186948083068,12415.779935671484,4361
2025-01-10,12431.004782719972,12480.064019437268,12336.344536189721,12434.78788505784,3337
2025-01-13,12187.14177153651,12250.263161904555,12045.10125458653,12166.94976825744,2872
2025-01-14,12569.646347058391,12642.711971696706,12411.158708272837,12561.203561400933,1695
2025-01-15,11908.421425908537,11935.670262600073,11867.997125731981,11912.925561334385,9586
2025-01-16,11882.84636892037,11967.899322806334,11782.627273558684,11893.534579420655,2222
2025-01-17,12079.663830829146,12114.604564763888,12026.603564591389,12062.450124702844,9180
2025-01-20,11642.645750568785,11689.25096891103,11454.954418060195,11584.036667484976,3092
2025-01-21,11561.86804356104,11661.708485552646,11522.29401937453,11542.53162996981,5439
2025-01-22,11523.98877191586,11631.330541294723,11495.214225721971,11527.024584515124,4106
2025-01-23,11737.660138950576,11934.10584288656,11604.839421331952,11721.072644179838,7596
2025-01-24,12022.508998692803,12082.523482999031,11924.451558378485,12019.767196571696,2003
2025-01-27,11894.898826513368,12041.285057626132,11832.729532343366,11925.449327590388,4354
2025-01-28,11609.26913996576,11724.218629731595,11552.30507422506,11602.079417730747,6630
2025-01-29,11963.02744722668,12095.619861350746,11919.792615979728,11926.097316246603,6004
2025-01-30,12214.88032975735,12294.72522846379,12207.185849834768,12222.600809949918,5581
2025-01-31,12085.329870921374,12332.842867029402,11915.587817935704,12112.605126733943,1017
2025-02-03,12212.26705208539,12460.988181514838,12139.161128658674,12200.347394034838,3545
2025-02-04,12341.369043031846,12399.473043640075,12139.901614084343,12296.341153575284,4439
2025-02-05,12462.272073113973,12474.232049660384,12264.507730879897,12438.882595528374,7894
2025-02-06,12517.739280085858,12585.353349750076,12405.687336767489,12492.287068503123,9492
2025-02-07,12910.481893316653,12943.34051712683,12639.531302795811,12851.304763184262,4854
2025-02-10,12455.011792138443,12556.355283042973,12368.425591931598,12414.760828939872,7460
2025-02-11,12696.50787059739,12707.697437223727,12668.048781098389,12678.436451411802,1600
2025-02-12,12772.501991773344,12781.532927848952,12699.861504004833,12777.835553077604,3286
2025-02-13,12728.512621151845,12877.7776688793,12695.172296923647,12725.010240454592,6754
2025-02-14,13027.119129055744,13208.37612250716,13022.545276573828,13029.812447793804,5318
2025-02-17,12456.75687655696,12595.466575284907,12411.185740989458,12435.657282745817,1589
2025-02-18,12707.985181993816,12931.215926810724,12682.855152266067,12730.470389605945,1806
2025-02-19,12871.375999166139,13052.43759191908,12788.494212597612,12831.716069217347,1372
2025-02-20,12550.354299890374,12582.099909780749,12471.708446689558,12546.694678151225,3502
2025-02-21,12648.246352083237,12823.622405864928,12605.50329714136,12658.375737678854,3251
2025-02-24,12604.658468516616,12873.121207608314,12492.273364120243,12584.141132761162,8317
2025-02-25,13199.577203963896,13369.515517930797,13125.656659993318,13254.581659817559,2865
2025-02-26,13729.951177336487,13822.40539457601,13704.118907181639,13752.903050404057,7557
2025-02-27,13859.174434447685,13979.935203420404,13827.858094684436,13877.429316968086,7311
2025-02-28,13704.420388273824,13757.405210616122,13647.003354341161,13681.966520830283,8608
2025-03-03,13512.7214131111,13645.60161697434,13410.225864184053,13525.954043349167,8598
2025-03-04,13479.30100123665,13540.943034723361,13366.559287759039,13440.995051530077,9028
2025-03-05,13282.011001322133,13391.687218866058,13260.211366413365,13293.891962526677,5581
2025-03-06,13072.377726802373,13157.244277482192,13003.293851779908,13058.767632861542,2486
2025-03-07,12889.627512648018,13221.346905584032,12771.880058504426,12907.910131478058,2204
2025-03-10,12869.048881177727,12902.138419152918,12829.84420908443,12839.376297051727,1200
2025-03-11,12703.40228034814,12727.282146278807,12614.628052997537,12709.872379658149,3294
2025-03-12,12549.044872028995,12820.413250466963,12508.681253678955,12536.034350679549,4545
2025-03-13,12295.617898579754,12388.683002745254,12290.4622933719,12307.753217995574,9981
2025-03-14,12926.283388765256,12975.195731196174,12832.043150220772,12954.434622787348,3788
2025-03-17,12575.025763998092,12587.507209190398,12426.81707918989,12580.8360343396,4096
2025-03-18,12355.978366723062,12394.07879969795,12092.72163896117,12328.903846342724,2050
2025-03-19,12413.151244518898,12528.314545982907,12207.04268036131,12438.472941692642,4493
2025-03-20,12322.899188255844,12620.722610300372,12262.149112041106,12360.707907900156,6520
2025-03-21,12460.741890798385,12562.106720095331,12448.769303890367,12468.42213302553,1356
2025-03-24,12691.634928164116,12723.128374398133,12576.34534234288,12671.84772753985,3892
