date,prob,pred,actual,ret_1d_ahead,model
2025-09-01,0.55,1,0,-0.003717105263157827,LGBM_Main
2025-09-02,0.55,1,1,0.020239706804899837,LGBM_Main
2025-09-03,0.55,1,0,-0.016084142394822143,LGBM_Main
2025-09-04,0.55,1,1,0.06933526296747039,LGBM_Main
2025-09-05,0.55,1,1,0.000799729322383147,LGBM_Main
2025-09-08,0.55,1,0,-0.016504287426622022,LGBM_Main
2025-09-09,0.55,1,0,-0.012374999999999914,LGBM_Main
2025-09-10,0.55,1,1,0.020598658397671166,LGBM_Main
2025-09-11,0.55,1,1,0.0075957215935513744,LGBM_Main
2025-09-12,0.55,1,1,0.0913846153846154,LGBM_Main
2025-09-15,0.3689528790261525,0,0,-0.0036086833944177776,LGBM_Main
2025-09-16,0.36765360093312893,0,1,0.0670024333654009,LGBM_Main
2025-09-17,0.3689528790261525,0,0,-0.027075046406788705,LGBM_Main
2025-09-18,0.36765360093312893,0,1,0.004360980130284409,LGBM_Main
2025-09-19,0.3689528790261525,0,1,0.004233493446226477,LGBM_Main
2025-09-22,0.3689528790261525,0,0,-0.005134441291717473,LGBM_Main
2025-09-23,0.36765360093312893,0,1,0.03199782697270148,LGBM_Main
2025-09-24,0.3689528790261525,0,1,0.034006264311847056,LGBM_Main
2025-09-25,0.3689528790261525,0,0,-0.03169148529973287,LGBM_Main
2025-09-26,0.36765360093312893,0,1,0.044610935856992606,LGBM_Main
2025-09-29,0.47529479656004925,0,1,0.011651609331353674,LGBM_Main
2025-09-30,0.47529479656004925,0,1,0.019626865671641847,LGBM_Main
2025-10-09,0.47529479656004925,0,0,-0.06816462953475322,LGBM_Main
2025-10-10,0.45448748350110085,0,0,-0.019505170833878704,LGBM_Main
2025-10-13,0.45448748350110085,0,0,-0.044058744993324406,LGBM_Main
2025-10-14,0.45448748350110085,0,1,0.03156424581005579,LGBM_Main
2025-10-15,0.47529479656004925,0,0,-0.0021662604928243123,LGBM_Main
2025-10-16,0.235189575594202,0,0,-0.028113975576662176,LGBM_Main
2025-10-17,0.45448748350110085,0,1,0.023342826827497776,LGBM_Main
2025-10-20,0.47529479656004925,0,1,0.025648021828103662,LGBM_Main
2025-10-21,0.447057465997301,0,0,-0.008087257249268287,LGBM_Main
2025-10-22,0.709793923160074,1,1,0.009628278710507976,LGBM_Main
2025-10-23,0.29003831627049004,0,1,0.024757603931464978,LGBM_Main
2025-10-24,0.447057465997301,0,1,0.0010628094460429782,LGBM_Main
2025-10-27,0.25320751731946733,0,1,0.0007768398156300371,LGBM_Main
2025-10-28,0.25320751731946733,0,1,0.0349824052991099,LGBM_Main
2025-10-29,0.447057465997301,0,0,-0.004274999999999918,LGBM_Main
2025-10-30,0.709793923160074,1,0,-0.023902181827311852,LGBM_Main
2025-10-31,0.709793923160074,1,0,-0.004912930524474501,LGBM_Main
2025-11-03,0.709793923160074,1,0,-0.020446673215116618,LGBM_Main
2025-11-04,0.6939264382811007,1,1,0.02572898799313883,LGBM_Main
2025-11-05,0.575005356337424,1,1,0.01538461538461533,LGBM_Main
2025-11-06,0.32161531674946875,0,1,0.0017482517482516613,LGBM_Main
2025-11-07,0.40367745928361387,0,0,-0.027467941421959186,LGBM_Main
2025-11-10,0.6939264382811007,1,1,0.002834776728823707,LGBM_Main
2025-11-11,0.40367745928361387,0,1,0.0020228215767634783,LGBM_Main
2025-11-12,0.40367745928361387,0,1,0.07562503235157103,LGBM_Main
2025-11-13,0.575005356337424,1,0,-0.027622714148219485,LGBM_Main
2025-11-14,0.6939264382811007,1,0,-0.03300999703058505,LGBM_Main
2025-11-17,0.6939264382811007,1,0,-0.014790930958595516,LGBM_Main
2025-11-18,0.5551769427629587,1,1,0.015844155844155994,LGBM_Main
2025-11-19,0.4675754297936679,0,0,-0.02994119151112251,LGBM_Main
2025-11-20,0.5551769427629587,1,0,-0.024750256991486252,LGBM_Main
